YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,2,8,7,UA,1151,N33266,LAS,SFO,1306.0,1304.0,-2.0,18.0,1322.0,105.0,102.0,76.0,414.0,1438.0,8.0,1451.0,1446.0,-5.0,0.0,0.0,,,,,,
2015,1,23,5,EV,5981,N16571,ORD,GRB,947.0,944.0,-3.0,9.0,953.0,58.0,54.0,42.0,173.0,1035.0,3.0,1045.0,1038.0,-7.0,0.0,0.0,,,,,,
2015,2,3,2,AA,313,N481AA,DEN,DFW,1210.0,1213.0,3.0,16.0,1229.0,115.0,113.0,87.0,641.0,1456.0,10.0,1505.0,1506.0,1.0,0.0,0.0,,,,,,
2015,2,12,4,MQ,3681,N654MQ,FSM,DFW,605.0,605.0,0.0,17.0,622.0,68.0,67.0,45.0,227.0,707.0,5.0,713.0,712.0,-1.0,0.0,0.0,,,,,,
2015,1,28,3,DL,1208,N3757D,SLC,CVG,1705.0,1700.0,-5.0,26.0,1726.0,194.0,192.0,163.0,1450.0,2209.0,3.0,2219.0,2212.0,-7.0,0.0,0.0,,,,,,
2015,1,4,7,WN,1585,N626SW,SFO,LAX,1750.0,1748.0,-2.0,19.0,1807.0,85.0,84.0,54.0,337.0,1901.0,11.0,1915.0,1912.0,-3.0,0.0,0.0,,,,,,
2015,1,19,1,WN,1177,N7711N,DEN,GEG,1205.0,1158.0,-7.0,12.0,1210.0,150.0,137.0,122.0,836.0,1312.0,3.0,1335.0,1315.0,-20.0,0.0,0.0,,,,,,
2015,2,6,5,WN,4463,N255WN,MSY,MDW,1740.0,1738.0,-2.0,9.0,1747.0,140.0,141.0,125.0,825.0,1952.0,7.0,2000.0,1959.0,-1.0,0.0,0.0,,,,,,
2015,1,26,1,UA,724,N213UA,HNL,SFO,1355.0,1344.0,-11.0,17.0,1401.0,305.0,286.0,263.0,2398.0,2024.0,6.0,2100.0,2030.0,-30.0,0.0,0.0,,,,,,
2015,2,18,3,MQ,3610,N527MQ,DTW,LGA,911.0,,,,,109.0,,,502.0,,,1100.0,,,0.0,1.0,A,,,,,
